Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year
RJ Barrett,barrerj01,NYK,2511,-0.9,-0.3,0.5,SG,2021
Reggie Bullock,bullore01,NYK,1949,-0.9,0.8,0.9,SF,2021
Nerlens Noel,noelne01,NYK,1547,-2.4,3.8,1.3,C,2021
Elfrid Payton,paytoel01,NYK,1484,-2.9,-0.1,-0.4,PG,2021
Alec Burks,burksal01,NYK,1255,0.9,0.6,1.1,SG,2021
Immanuel Quickley,quickim01,NYK,1243,1.4,-0.5,0.9,PG,2021
Derrick Rose,rosede01,NYK,937,1.9,0.5,1.0,PG,2021
Taj Gibson,gibsota01,NYK,936,-0.7,2.1,0.8,C,2021
Mitchell Robinson,robinmi01,NYK,853,-0.3,1.5,0.7,C,2021
Obi Toppin,toppiob01,NYK,683,-1.4,0.7,0.2,PF,2021
Kevin Knox,knoxke01,NYK,464,-1.7,0.4,0.1,SF,2021
Austin Rivers,riverau01,NYK,442,-2.4,0.2,0.0,SG,2021
Frank Ntilikina,ntilila01,NYK,322,-4.2,2.5,0.0,PG,2021
Norvel Pelle,pelleno01,NYK,52,-1.1,3.7,0.1,C,2021
Theo Pinson,pinsoth01,NYK,34,-13.2,-2.5,-0.1,SG,2021
Dennis Smith Jr.,smithde03,NYK,28,-8.5,4.7,0.0,PG,2021
Jared Harper,harpeja01,NYK,16,-16.6,-5.5,-0.1,PG,2021
Ignas Brazdeikis,brazdig01,NYK,7,-2.9,-1.2,0.0,SF,2021
Buddy Hield,hieldbu01,SAC,2433,1.0,-1.6,0.9,SG,2021
Harrison Barnes,barneha02,SAC,2102,1.5,-1.3,1.1,PF,2021
De'Aaron Fox,foxde01,SAC,2036,3.1,-1.3,2.0,PG,2021
Richaun Holmes,holmeri01,SAC,1782,0.6,0.0,1.2,C,2021
Tyrese Haliburton,halibty01,SAC,1746,1.9,-0.5,1.5,PG,2021
Marvin Bagley III,baglema01,SAC,1112,-0.4,-2.7,-0.3,PF,2021
Cory Joseph,josepco01,SAC,944,-3.0,-0.3,-0.3,PG,2021
Delon Wright,wrighde01,SAC,696,0.5,0.6,0.6,PG,2021
Maurice Harkless,harklma01,SAC,648,-3.8,0.0,-0.3,PF,2021
Terence Davis,daviste02,SAC,581,-0.1,-0.9,0.2,SG,2021
Hassan Whiteside,whiteha01,SAC,546,-1.8,-0.4,0.0,C,2021
Chimezie Metu,metuch01,SAC,488,-2.2,-1.3,-0.2,C,2021
Nemanja Bjelica,bjeline01,SAC,439,-1.3,-1.3,-0.1,PF,2021
Glenn Robinson III,robingl02,SAC,369,-1.9,-2.2,-0.2,SF,2021
Damian Jones,jonesda03,SAC,341,-1.0,0.3,0.1,C,2021
Justin James,jamesju01,SAC,310,-2.0,-2.3,-0.2,SF,2021
Kyle Guy,guyky01,SAC,235,-3.7,-2.1,-0.2,PG,2021
DaQuan Jeffries,jeffrda01,SAC,232,-3.7,-1.6,-0.2,SG,2021
Jahmi'us Ramsey,ramseja01,SAC,94,-3.1,-1.4,-0.1,SG,2021
Louis King,kinglo02,SAC,85,2.3,2.5,0.1,SF,2021
Robert Woodard II,woodaro01,SAC,45,-2.7,-2.6,0.0,SF,2021
Jabari Parker,parkeja01,SAC,27,-7.7,-1.4,0.0,PF,2021
Chris Silva,silvach01,SAC,9,-19.3,-1.3,0.0,PF,2021
Norvel Pelle,pelleno01,SAC,4,6.1,-2.9,0.0,C,2021
Royce O'Neale,onealro01,UTA,2241,-1.2,2.1,1.7,SF,2021
Bojan Bogdanović,bogdabo02,UTA,2216,0.2,-0.7,0.9,SF,2021
Rudy Gobert,goberru01,UTA,2187,2.1,2.8,3.8,C,2021
Joe Ingles,inglejo01,UTA,1867,2.6,0.9,2.6,SF,2021
Jordan Clarkson,clarkjo01,UTA,1818,1.8,-0.4,1.6,SG,2021
Donovan Mitchell,mitchdo01,UTA,1771,4.6,-0.2,2.8,PG,2021
Mike Conley,conlemi01,UTA,1498,3.6,1.3,2.6,PG,2021
Georges Niang,niangge01,UTA,1154,-0.4,0.1,0.5,PF,2021
Derrick Favors,favorde01,UTA,1039,0.3,2.4,1.2,C,2021
Miye Oni,onimi01,UTA,519,-3.0,1.3,0.0,SG,2021
Trent Forrest,forretr01,UTA,302,-2.5,1.2,0.1,PG,2021
Ersan İlyasova,ilyaser01,UTA,148,-2.5,1.7,0.0,PF,2021
Juwan Morgan,morgaju01,UTA,147,-3.5,1.2,0.0,PF,2021
Jarrell Brantley,brantja01,UTA,138,0.6,1.6,0.1,PF,2021
Matt Thomas,thomama02,UTA,134,-3.5,-2.0,-0.1,SG,2021
Elijah Hughes,hugheel01,UTA,64,-1.4,-1.3,0.0,SF,2021
Udoka Azubuike,azubuud01,UTA,57,-5.5,1.7,0.0,C,2021
Shaquille Harrison,harrish01,UTA,56,-6.4,-0.3,-0.1,SG,2021
Terry Rozier,roziete01,CHO,2383,2.2,-0.5,2.2,SG,2021
P.J. Washington,washipj01,CHO,1954,-1.5,0.6,0.6,PF,2021
Miles Bridges,bridgmi02,CHO,1932,0.2,0.1,1.1,PF,2021
Devonte' Graham,grahade01,CHO,1659,1.8,-1.1,1.1,PG,2021
Gordon Hayward,haywago01,CHO,1496,1.6,-0.1,1.4,SF,2021
LaMelo Ball,ballla01,CHO,1469,1.1,0.7,1.4,PG,2021
Bismack Biyombo,biyombi01,CHO,1349,-3.4,0.4,-0.4,C,2021
Cody Zeller,zelleco01,CHO,1005,-0.2,-0.2,0.4,C,2021
Jalen McDaniels,mcdanja01,CHO,904,-2.8,-0.4,-0.3,SF,2021
Malik Monk,monkma01,CHO,878,0.2,-2.0,0.0,SG,2021
Cody Martin,martico01,CHO,849,-2.7,0.7,0.0,SF,2021
Caleb Martin,martica02,CHO,818,-3.6,0.2,-0.3,SF,2021
Brad Wanamaker,wanambr01,CHO,428,-4.4,-0.5,-0.3,PG,2021
Vernon Carey Jr.,careyve01,CHO,115,-4.4,-1.7,-0.1,C,2021
Nick Richards,richani01,CHO,63,-5.9,-2.1,-0.1,PF,2021
Grant Riller,rillegr01,CHO,27,4.6,0.5,0.0,PG,2021
Nate Darling,darlina01,CHO,26,-1.5,-2.5,0.0,SG,2021
Duncan Robinson,robindu01,MIA,2262,-0.2,-0.8,0.6,SF,2021
Bam Adebayo,adebaba01,MIA,2143,2.9,2.0,3.7,C,2021
Jimmy Butler,butleji01,MIA,1745,5.4,2.3,4.3,SF,2021
Kendrick Nunn,nunnke01,MIA,1650,-0.1,-0.4,0.6,PG,2021
Tyler Herro,herroty01,MIA,1635,-0.3,-1.0,0.3,SG,2021
Andre Iguodala,iguodan01,MIA,1339,-2.2,1.8,0.5,SF,2021
Goran Dragić,dragigo01,MIA,1337,-1.1,-1.3,-0.1,PG,2021
Kelly Olynyk,olynyke01,MIA,1157,-1.6,1.0,0.4,C,2021
Trevor Ariza,arizatr01,MIA,841,-1.2,0.1,0.2,SF,2021
Precious Achiuwa,achiupr01,MIA,737,-3.6,-0.5,-0.4,PF,2021
Gabe Vincent,vincega01,MIA,655,-4.5,-0.9,-0.6,PG,2021
Max Strus,strusma01,MIA,507,-0.5,-1.7,0.0,SF,2021
KZ Okpala,okpalkz01,MIA,447,-6.5,-0.6,-0.6,PF,2021
Avery Bradley,bradlav01,MIA,211,-2.5,0.1,0.0,SG,2021
Dewayne Dedmon,dedmode01,MIA,210,1.2,0.5,0.2,C,2021
Nemanja Bjelica,bjeline01,MIA,156,-1.8,0.4,0.0,PF,2021
Maurice Harkless,harklma01,MIA,124,-3.5,0.7,0.0,SF,2021
Victor Oladipo,oladivi01,MIA,111,-7.1,-1.6,-0.2,SG,2021
Chris Silva,silvach01,MIA,83,-5.3,1.4,0.0,PF,2021
Meyers Leonard,leoname01,MIA,29,-3.3,-0.4,0.0,C,2021
Udonis Haslem,hasleud01,MIA,3,24.1,7.0,0.0,C,2021
Kevin Huerter,huertke01,ATL,2126,-0.6,0.4,1.0,SG,2021
Trae Young,youngtr01,ATL,2125,5.3,-1.7,3.0,PG,2021
Clint Capela,capelca01,ATL,1898,2.7,0.0,2.2,C,2021
John Collins,collijo01,ATL,1848,2.5,-0.2,2.0,PF,2021
Solomon Hill,hillso01,ATL,1513,-3.0,0.5,-0.2,PF,2021
Bogdan Bogdanović,bogdabo01,ATL,1305,3.3,0.3,1.8,SG,2021
Danilo Gallinari,gallida01,ATL,1222,1.7,-0.6,1.0,PF,2021
Tony Snell,snellto01,ATL,992,-0.4,-0.1,0.4,SG,2021
Cam Reddish,reddica01,ATL,750,-3.3,0.1,-0.2,SF,2021
De'Andre Hunter,huntede01,ATL,678,0.6,0.6,0.5,SF,2021
Brandon Goodwin,goodwbr01,ATL,620,-2.5,-0.6,-0.2,PG,2021
Onyeka Okongwu,okongon01,ATL,601,-2.2,0.8,0.1,C,2021
Lou Williams,willilo02,ATL,505,-1.8,-2.5,-0.3,PG,2021
Rajon Rondo,rondora01,ATL,402,-2.8,0.3,0.0,PG,2021
Nathan Knight,knighna01,ATL,279,-2.6,-1.0,-0.1,PF,2021
Skylar Mays,mayssk01,ATL,269,1.2,0.7,0.3,SG,2021
Bruno Fernando,fernabr01,ATL,226,-6.1,-0.4,-0.3,C,2021
Kris Dunn,dunnkr01,ATL,45,-13.7,-0.1,-0.1,PG,2021
Ja Morant,moranja01,MEM,2053,1.3,-1.6,0.8,PG,2021
Dillon Brooks,brookdi01,MEM,1997,-2.6,-1.1,-0.9,SF,2021
Kyle Anderson,anderky01,MEM,1887,1.4,1.9,2.5,PF,2021
Jonas Valančiūnas,valanjo01,MEM,1755,3.2,-0.3,2.2,C,2021
Desmond Bane,banede01,MEM,1519,-0.6,-0.2,0.5,SG,2021
Brandon Clarke,clarkbr01,MEM,1415,0.4,1.2,1.3,PF,2021
Grayson Allen,allengr01,MEM,1259,-0.2,0.1,0.6,SG,2021
Tyus Jones,jonesty01,MEM,1222,-0.1,0.9,0.9,PG,2021
Xavier Tillman Sr.,tillmxa01,MEM,1085,-1.3,1.1,0.5,PF,2021
De'Anthony Melton,meltode01,MEM,1045,0.6,1.7,1.1,PG,2021
John Konchar,konchjo01,MEM,575,-0.2,1.4,0.5,SG,2021
Justise Winslow,winslju01,MEM,507,-6.2,0.2,-0.5,SF,2021
Gorgui Dieng,dienggo01,MEM,371,1.8,1.6,0.5,C,2021
Jaren Jackson Jr.,jacksja02,MEM,258,-0.7,0.7,0.1,C,2021
Killian Tillie,tilliki02,MEM,182,-3.4,-0.3,-0.1,C,2021
Sean McDermott,mcderse01,MEM,158,-3.1,-1.2,-0.1,SF,2021
Tim Frazier,fraziti01,MEM,62,-10.7,-1.2,-0.2,PG,2021
Jontay Porter,portejo01,MEM,54,-6.8,0.3,-0.1,PF,2021
Nicolas Batum,batumni01,LAC,1835,0.6,1.5,1.9,SF,2021
Paul George,georgpa01,LAC,1821,3.9,0.3,2.9,SF,2021
Kawhi Leonard,leonaka01,LAC,1773,6.0,1.3,4.2,SF,2021
Ivica Zubac,zubaciv01,LAC,1609,0.6,0.4,1.2,C,2021
Reggie Jackson,jacksre01,LAC,1544,0.6,-0.2,0.9,SG,2021
Marcus Morris,morrima03,LAC,1502,0.9,-0.8,0.8,PF,2021
Terance Mann,mannte01,LAC,1263,-0.5,0.3,0.6,SG,2021
Luke Kennard,kennalu01,LAC,1232,0.3,-0.5,0.6,SG,2021
Serge Ibaka,ibakase01,LAC,955,1.2,0.2,0.8,C,2021
Lou Williams,willilo02,LAC,918,-0.5,-1.0,0.1,PG,2021
Patrick Beverley,beverpa01,LAC,832,-0.7,1.4,0.6,PG,2021
Patrick Patterson,pattepa01,LAC,582,-0.4,-0.1,0.2,PF,2021
Amir Coffey,coffeam01,LAC,394,-1.9,-0.1,0.0,SG,2021
Rajon Rondo,rondora01,LAC,368,2.0,0.4,0.4,PG,2021
DeMarcus Cousins,couside01,LAC,207,-0.2,1.9,0.2,C,2021
Daniel Oturu,oturuda01,LAC,161,-4.1,-1.1,-0.1,C,2021
Yogi Ferrell,ferreyo01,LAC,96,0.0,0.7,0.1,PG,2021
Mfiondu Kabengele,kabenmf01,LAC,94,-9.2,-0.9,-0.2,PF,2021
Jay Scrubb,scrubja01,LAC,84,-8.1,-2.8,-0.2,SG,2021
Malik Fitts,fittsma01,LAC,11,-7.0,-2.1,0.0,PF,2021
Jayson Tatum,tatumja01,BOS,2290,4.2,-0.3,3.4,SF,2021
Jaylen Brown,brownja02,BOS,1999,3.2,-0.7,2.3,SG,2021
Marcus Smart,smartma01,BOS,1581,-0.4,0.2,0.7,PG,2021
Kemba Walker,walkeke02,BOS,1369,2.8,-0.7,1.4,PG,2021
Tristan Thompson,thomptr01,BOS,1287,-1.5,-1.0,-0.2,C,2021
Payton Pritchard,pritcpa01,BOS,1268,-0.3,-0.4,0.4,SG,2021
Grant Williams,willigr01,BOS,1138,-4.0,0.3,-0.5,PF,2021
Daniel Theis,theisda01,BOS,1027,-0.6,1.0,0.6,C,2021
Robert Williams,williro04,BOS,985,2.9,3.1,2.0,C,2021
Semi Ojeleye,ojelese01,BOS,950,-1.7,-0.7,-0.1,PF,2021
Aaron Nesmith,nesmiaa01,BOS,669,-2.8,-0.4,-0.2,SF,2021
Jeff Teague,teaguje01,BOS,616,-2.4,-0.3,-0.1,PG,2021
Evan Fournier,fournev01,BOS,472,0.1,0.1,0.3,SF,2021
Javonte Green,greenja02,BOS,345,-1.7,1.3,0.1,SF,2021
Romeo Langford,langfro01,BOS,283,-4.9,0.2,-0.2,SG,2021
Carsen Edwards,edwarca01,BOS,276,-3.2,-1.3,-0.2,SG,2021
Luke Kornet,kornelu01,BOS,254,-0.8,1.8,0.2,C,2021
Tremont Waters,watertr01,BOS,238,0.4,-0.1,0.1,PG,2021
Jabari Parker,parkeja01,BOS,138,0.4,0.2,0.1,PF,2021
Tacko Fall,fallta01,BOS,136,-1.7,2.9,0.1,C,2021
Moritz Wagner,wagnemo01,BOS,61,-10.0,-0.3,-0.1,C,2021
Isaac Okoro,okorois01,CLE,2173,-4.2,-0.9,-1.7,SG,2021
Collin Sexton,sextoco01,CLE,2115,1.8,-1.9,1.0,SG,2021
Darius Garland,garlada01,CLE,1790,0.0,-2.1,-0.1,PG,2021
Jarrett Allen,allenja01,CLE,1544,1.2,-0.4,1.1,C,2021
Cedi Osman,osmande01,CLE,1510,-2.3,-0.9,-0.5,SF,2021
Dean Wade,wadede01,CLE,1212,-1.1,-0.1,0.2,PF,2021
Larry Nance Jr.,nancela02,CLE,1091,-1.4,1.8,0.7,PF,2021
Damyean Dotson,dotsoda01,CLE,907,-3.4,-1.4,-0.6,SG,2021
Andre Drummond,drumman01,CLE,722,-1.0,0.2,0.2,C,2021
Taurean Prince,princta02,CLE,687,-0.9,-0.8,0.0,PF,2021
Kevin Love,loveke01,CLE,622,0.9,-0.9,0.3,PF,2021
Dylan Windler,windldy01,CLE,513,-2.0,0.3,0.0,SF,2021
JaVale McGee,mcgeeja01,CLE,503,-2.3,1.2,0.1,C,2021
Lamar Stevens,stevela01,CLE,499,-4.2,0.0,-0.3,PF,2021
Brodric Thomas,thomabr01,CLE,375,-4.5,0.3,-0.2,SG,2021
Isaiah Hartenstein,harteis01,CLE,287,-0.6,2.3,0.3,C,2021
Matthew Dellavedova,dellama01,CLE,224,-4.5,-1.9,-0.3,PG,2021
Mfiondu Kabengele,kabenmf01,CLE,186,-1.9,0.6,0.0,PF,2021
Dante Exum,exumda01,CLE,116,-5.4,1.6,-0.1,SG,2021
Quinn Cook,cookqu01,CLE,95,-1.5,-0.2,0.0,PG,2021
Thon Maker,makerth01,CLE,76,-0.3,1.1,0.1,C,2021
Jeremiah Martin,martije02,CLE,75,-8.3,-1.1,-0.1,PG,2021
Yogi Ferrell,ferreyo01,CLE,40,-1.9,1.0,0.0,PG,2021
Anderson Varejão,varejan01,CLE,36,-3.7,-3.3,0.0,C,2021
Marques Bolden,boldema01,CLE,29,-3.8,0.8,0.0,C,2021
Coby White,whiteco01,CHI,2156,-1.2,-1.2,-0.2,PG,2021
Zach LaVine,lavinza01,CHI,2034,4.9,-0.8,3.1,SG,2021
Patrick Williams,willipa01,CHI,1983,-2.8,0.4,-0.2,PF,2021
Thaddeus Young,youngth01,CHI,1652,1.9,1.4,2.2,PF,2021
Garrett Temple,templga01,CHI,1528,-3.3,0.3,-0.4,SG,2021
Lauri Markkanen,markkla01,CHI,1317,1.0,-0.9,0.7,PF,2021
Tomáš Satoranský,satorto01,CHI,1307,-0.6,0.1,0.5,SG,2021
Denzel Valentine,valende01,CHI,1036,-2.2,-0.4,-0.2,SG,2021
Nikola Vučević,vucevni01,CHI,848,3.9,0.5,1.4,C,2021
Wendell Carter Jr.,cartewe01,CHI,792,-1.4,0.4,0.2,C,2021
Daniel Theis,theisda01,CHI,574,-1.0,0.3,0.2,C,2021
Otto Porter Jr.,porteot01,CHI,540,0.4,-0.3,0.3,SF,2021
Ryan Arcidiacono,arcidry01,CHI,450,-2.6,0.3,0.0,PG,2021
Daniel Gafford,gaffoda01,CHI,383,-1.4,1.6,0.2,C,2021
Troy Brown Jr.,browntr01,CHI,237,-2.3,0.2,0.0,SF,2021
Javonte Green,greenja02,CHI,128,-3.4,2.8,0.0,SG,2021
Luke Kornet,kornelu01,CHI,94,-0.7,1.2,0.1,C,2021
Cristiano Felício,feliccr01,CHI,84,-1.1,1.2,0.0,C,2021
Al-Farouq Aminu,aminual01,CHI,67,-7.5,0.2,-0.1,PF,2021
Chandler Hutchison,hutchch01,CHI,64,-9.3,-0.7,-0.1,SF,2021
Adam Mokoka,mokokad01,CHI,56,-7.7,-1.6,-0.1,SG,2021
Devon Dotson,dotsode01,CHI,50,-0.1,2.2,0.1,PG,2021
Khris Middleton,middlkh01,MIL,2269,1.7,-0.3,1.9,SF,2021
Giannis Antetokounmpo,antetgi01,MIL,2013,6.2,2.8,5.6,PF,2021
Jrue Holiday,holidjr01,MIL,1907,2.8,0.6,2.6,PG,2021
Brook Lopez,lopezbr01,MIL,1902,0.0,0.0,0.9,C,2021
Donte DiVincenzo,divindo01,MIL,1814,-0.2,0.4,1.0,SG,2021
Pat Connaughton,connapa01,MIL,1575,-0.5,0.5,0.8,SG,2021
Bobby Portis,portibo01,MIL,1372,1.8,-0.4,1.2,C,2021
Bryn Forbes,forbebr01,MIL,1354,0.4,-1.7,0.2,SG,2021
D.J. Augustin,augusdj01,MIL,713,-1.3,-0.9,0.0,PG,2021
Thanasis Antetokounmpo,antetth01,MIL,551,-3.7,0.2,-0.2,SF,2021
P.J. Tucker,tuckepj01,MIL,397,-2.9,0.0,-0.1,PF,2021
Jeff Teague,teaguje01,MIL,334,-0.5,-1.0,0.1,PG,2021
Jordan Nwora,nworajo01,MIL,274,-0.7,-0.4,0.1,SF,2021
Sam Merrill,merrisa01,MIL,233,-0.7,-0.3,0.1,SG,2021
Torrey Craig,craigto01,MIL,201,-2.2,1.6,0.1,SF,2021
Mamadi Diakite,diakima01,MIL,141,-3.3,0.9,0.0,PF,2021
D.J. Wilson,wilsodj01,MIL,105,-3.7,-1.4,-0.1,PF,2021
Axel Toupane,toupaax01,MIL,61,-4.1,1.1,0.0,SF,2021
Rodions Kurucs,kurucro01,MIL,34,-0.9,3.1,0.0,SF,2021
Justin Jackson,jacksju01,MIL,33,-3.2,-4.8,0.0,SF,2021
Elijah Bryant,bryanel01,MIL,32,-3.9,-3.4,0.0,SG,2021
Jaylen Adams,adamsja01,MIL,18,-15.1,-4.6,-0.1,PG,2021
Damian Lillard,lillada01,POR,2398,7.5,-1.3,5.0,PG,2021
Robert Covington,covinro01,POR,2243,-1.3,1.5,1.2,PF,2021
Enes Freedom,kanteen01,POR,1758,2.1,-1.4,1.2,C,2021
Carmelo Anthony,anthoca01,POR,1690,0.2,-1.3,0.4,PF,2021
CJ McCollum,mccolcj01,POR,1600,5.0,-1.1,2.4,SG,2021
Derrick Jones Jr.,jonesde02,POR,1318,-1.4,0.0,0.2,SF,2021
Gary Trent Jr.,trentga02,POR,1262,-0.1,-1.8,0.0,SG,2021
Anfernee Simons,simonan01,POR,1104,0.6,-1.6,0.3,SG,2021
Norman Powell,powelno01,POR,928,-0.5,-0.7,0.2,SF,2021
Jusuf Nurkić,nurkiju01,POR,880,0.7,1.8,1.0,C,2021
Rodney Hood,hoodro01,POR,726,-5.3,-1.5,-0.9,SF,2021
Nassir Little,littlna01,POR,640,-1.1,-1.6,-0.1,PF,2021
Harry Giles,gilesha01,POR,348,-3.2,0.2,-0.1,C,2021
CJ Elleby,ellebcj01,POR,192,-4.0,-0.9,-0.1,SF,2021
Rondae Hollis-Jefferson,holliro01,POR,107,-1.1,1.2,0.1,PF,2021
Keljin Blevins,blevike01,POR,75,-8.3,-2.3,-0.2,SF,2021
T.J. Leaf,leaftj01,POR,35,-3.9,0.9,0.0,PF,2021
Tobias Harris,harrito02,PHI,2014,2.9,0.8,2.9,PF,2021
Danny Green,greenda02,PHI,1934,0.4,1.5,1.9,SF,2021
Ben Simmons,simmobe01,PHI,1877,0.7,2.2,2.3,PG,2021
Seth Curry,curryse01,PHI,1638,0.1,-0.4,0.7,SG,2021
Joel Embiid,embiijo01,PHI,1585,6.3,1.2,3.8,C,2021
Shake Milton,miltosh01,PHI,1461,-0.7,-1.0,0.1,SG,2021
Matisse Thybulle,thybuma01,PHI,1298,-2.6,4.5,1.3,SG,2021
Dwight Howard,howardw01,PHI,1196,-2.1,0.6,0.1,C,2021
Furkan Korkmaz,korkmfu01,PHI,1062,-0.3,0.2,0.5,SG,2021
Tyrese Maxey,maxeyty01,PHI,935,-1.0,-0.5,0.1,SG,2021
Mike Scott,scottmi01,PHI,852,-3.2,0.3,-0.2,PF,2021
Isaiah Joe,joeis01,PHI,383,-2.0,-1.0,-0.1,SG,2021
George Hill,hillge01,PHI,303,-3.3,-0.5,-0.1,PG,2021
Tony Bradley,bradlto01,PHI,287,2.3,1.0,0.4,C,2021
Paul Reed,reedpa01,PHI,177,-1.8,0.8,0.0,PF,2021
Dakota Mathias,mathida01,PHI,123,-1.5,-1.0,0.0,SG,2021
Anthony Tolliver,tollian01,PHI,99,-5.6,-1.5,-0.1,PF,2021
Rayjon Tucker,tuckera01,PHI,68,-3.0,-0.4,0.0,PG,2021
Terrance Ferguson,fergute01,PHI,49,-12.1,-2.2,-0.2,SG,2021
Vincent Poirier,poirivi01,PHI,39,-12.3,-2.4,-0.1,C,2021
Mason Jones,jonesma05,PHI,27,4.6,0.2,0.0,SG,2021
Gary Clark,clarkga01,PHI,13,-6.5,0.6,0.0,PF,2021
Ignas Brazdeikis,brazdig01,PHI,8,-15.2,-6.2,0.0,SF,2021
Kentavious Caldwell-Pope,caldwke01,WAS,2329,-0.9,-0.6,0.3,SG,2022
Kyle Kuzma,kuzmaky01,WAS,2204,0.2,-0.4,1.0,PF,2022
Deni Avdija,avdijde01,WAS,1984,-2.1,0.4,0.1,SF,2022
Corey Kispert,kispeco01,WAS,1801,-0.8,-1.5,-0.1,SF,2022
Daniel Gafford,gaffoda01,WAS,1444,1.1,0.5,1.3,C,2022
Bradley Beal,bealbr01,WAS,1439,2.0,-1.2,1.0,SG,2022
Raul Neto,netora01,WAS,1372,-2.5,-0.5,-0.4,PG,2022
Spencer Dinwiddie,dinwisp01,WAS,1330,-0.2,-0.7,0.3,PG,2022
Montrezl Harrell,harremo01,WAS,1117,4.3,0.6,1.9,C,2022
Rui Hachimura,hachiru01,WAS,943,0.2,-1.7,0.1,PF,2022
Aaron Holiday,holidaa01,WAS,663,-2.4,0.3,0.0,PG,2022
Ish Smith,smithis01,WAS,615,-0.9,-0.6,0.1,PG,2022
Dāvis Bertāns,bertada01,WAS,501,-2.5,-1.3,-0.2,PF,2022
Kristaps Porziņģis,porzikr01,WAS,479,5.4,0.2,0.9,PF,2022
Anthony Gill,gillan01,WAS,463,-0.6,-1.3,0.0,PF,2022
Thomas Bryant,bryanth01,WAS,439,-0.4,-0.7,0.1,C,2022
Tomáš Satoranský,satorto01,WAS,416,-1.4,0.0,0.1,PG,2022
Isaiah Todd,toddis01,WAS,74,-5.7,-1.2,-0.1,PF,2022
Cassius Winston,winstca01,WAS,39,-5.9,-3.5,-0.1,PG,2022
Jordan Schakel,schakjo01,WAS,30,-8.6,-4.3,-0.1,SG,2022
Vernon Carey Jr.,careyve01,WAS,27,-3.2,-4.1,0.0,C,2022
Brad Wanamaker,wanambr01,WAS,27,-1.8,4.7,0.0,PG,2022
Joel Ayayi,ayayijo01,WAS,20,-4.3,-1.7,0.0,SG,2022
Craig Sword,swordcr01,WAS,19,-8.6,10.0,0.0,SG,2022
Greg Monroe,monrogr01,WAS,18,-0.1,-4.3,0.0,C,2022
Alize Johnson,johnsal02,WAS,18,-7.7,-8.3,-0.1,PF,2022
Tremont Waters,watertr01,WAS,8,-9.4,4.0,0.0,PG,2022
Jordan Goodwin,goodwjo01,WAS,6,-24.7,-9.4,0.0,SG,2022
Jaime Echenique,echenja01,WAS,3,-5.5,-3.0,0.0,C,2022
Andrew Wiggins,wiggian01,GSW,2329,0.3,0.1,1.4,SF,2022
Jordan Poole,poolejo01,GSW,2283,1.3,-0.3,1.7,SG,2022
Stephen Curry,curryst01,GSW,2211,5.4,0.4,4.4,PG,2022
Kevon Looney,looneke01,GSW,1732,-0.9,1.7,1.3,C,2022
Otto Porter Jr.,porteot01,GSW,1396,1.0,2.1,1.8,PF,2022
Draymond Green,greendr01,GSW,1329,-1.4,4.6,1.8,PF,2022
Damion Lee,leeda03,GSW,1256,-2.4,0.4,0.0,SG,2022
Gary Payton II,paytoga02,GSW,1247,0.3,3.4,1.8,SG,2022
Jonathan Kuminga,kuminjo01,GSW,1185,-1.3,-0.2,0.1,SF,2022
Nemanja Bjelica,bjeline01,GSW,1142,-0.9,2.3,1.0,C,2022
Juan Toscano-Anderson,toscaju01,GSW,994,-3.3,2.4,0.3,SF,2022
Klay Thompson,thompkl01,GSW,941,2.6,-1.6,0.7,SG,2022
Moses Moody,moodymo01,GSW,607,-1.4,-1.1,-0.1,SG,2022
Andre Iguodala,iguodan01,GSW,603,-0.9,3.7,0.7,SF,2022
Chris Chiozza,chiozch01,GSW,372,-5.7,-0.2,-0.4,PG,2022
Quinndary Weatherspoon,weathqu01,GSW,73,-4.5,0.1,0.0,SG,2022
Jeff Dowtin Jr.,dowtije01,GSW,28,-4.3,0.7,0.0,PG,2022
Karl-Anthony Towns,townska01,MIN,2476,4.5,0.5,4.4,C,2022
Anthony Edwards,edwaran01,MIN,2466,1.6,-0.4,2.0,SG,2022
D'Angelo Russell,russeda01,MIN,2077,2.2,-1.5,1.4,PG,2022
Malik Beasley,beaslma01,MIN,1976,0.7,-1.5,0.7,SG,2022
Jarred Vanderbilt,vandeja01,MIN,1880,-0.8,1.0,1.1,PF,2022
Jaden McDaniels,mcdanja02,MIN,1803,-2.9,-0.1,-0.4,PF,2022
Patrick Beverley,beverpa01,MIN,1476,0.6,2.1,1.7,PG,2022
Naz Reid,reidna01,MIN,1215,-0.5,0.5,0.6,C,2022
Taurean Prince,princta02,MIN,1177,-1.0,0.0,0.3,PF,2022
Jaylen Nowell,nowelja01,MIN,975,1.5,-0.7,0.7,SG,2022
Jordan McLaughlin,mclaujo01,MIN,902,-1.2,1.6,0.6,PG,2022
Josh Okogie,okogijo01,MIN,516,-3.7,0.9,-0.1,SG,2022
Nathan Knight,knighna01,MIN,267,-0.7,0.1,0.1,PF,2022
Leandro Bolmaro,bolmale01,MIN,241,-5.1,-0.7,-0.2,SF,2022
Jake Layman,laymaja01,MIN,231,-3.3,-0.6,-0.1,SF,2022
Greg Monroe,monrogr01,MIN,81,-0.3,4.8,0.1,C,2022
McKinley Wright IV,wrighmc01,MIN,19,-1.4,-2.8,0.0,PG,2022
