Player,Player-additional,Team,MP,OBPM,DBPM,VORP,Pos,Year,Salary
Julian Champagnie,champju02,SAS,1468,-1.8,-0.1,0.0,SF,2024,3000000.0
Julian Champagnie,champju02,SAS,1932,-0.3,-0.9,0.4,SF,2025,3000000.0
Kennedy Chandler,chandke01,MEM,281,-3.3,0.6,0.0,PG,2023,1200000.0
Cam Christie,chrisca02,LAC,59,-5.5,3.0,0.0,SG,2025,1157153.0
Josh Christopher,chrisjo01,HOU,1334,-2.2,-1.3,-0.5,SG,2022,2259240.0
Josh Christopher,chrisjo01,HOU,786,-3.0,-1.4,-0.5,SG,2023,2372160.0
Marquese Chriss,chrisma01,GSW,27,-2.4,0.3,0.0,PF,2021,1824003.0
Marquese Chriss,chrisma01,DAL,346,-3.8,0.0,-0.2,PF,2022,958529.0
Max Christie,chrisma02,LAL,512,-3.2,0.0,-0.1,SG,2023,1017781.0
Max Christie,chrisma02,LAL,944,-3.2,-0.4,-0.4,SG,2024,1719864.0
Max Christie,chrisma02,LAL,1154,-1.8,0.0,0.0,SG,2025,7142857.0
Sidy Cissoko,cissosi01,SAS,141,-4.0,1.4,0.0,SF,2024,1119563.0
Sidy Cissoko,cissosi01,POR,60,-7.7,0.4,-0.1,SF,2025,1891857.0
Brandon Clarke,clarkbr01,MEM,1415,0.4,1.2,1.3,PF,2021,2602920.0
Brandon Clarke,clarkbr01,MEM,1246,3.1,1.1,2.0,PF,2022,2726880.0
Brandon Clarke,clarkbr01,MEM,1090,0.8,1.8,1.3,PF,2023,4343920.0
Brandon Clarke,clarkbr01,MEM,134,0.7,0.3,0.1,PF,2024,12500000.0
Brandon Clarke,clarkbr01,MEM,1207,0.0,0.8,0.9,PF,2025,12500000.0
Gary Clark,clarkga01,ORL,637,-4.2,-0.7,-0.5,SF,2021,2000000.0
Jaylen Clark,clarkja02,MIN,522,-2.9,2.7,0.2,SG,2025,429323.0
Jordan Clarkson,clarkjo01,UTA,1818,1.8,-0.4,1.6,SG,2021,11500000.0
Jordan Clarkson,clarkjo01,UTA,2141,0.5,-1.2,0.7,SG,2022,12420000.0
Jordan Clarkson,clarkjo01,UTA,1988,1.0,-2.4,0.3,SG,2023,13340000.0
Jordan Clarkson,clarkjo01,UTA,1682,-1.3,-3.2,-1.1,SG,2024,23487629.0
Jordan Clarkson,clarkjo01,UTA,962,0.6,-2.1,0.1,SG,2025,14092577.0
Nic Claxton,claxtni01,BRK,594,-1.0,1.4,0.4,C,2021,1517981.0
Nic Claxton,claxtni01,BRK,974,0.3,0.2,0.6,C,2022,1782621.0
Nic Claxton,claxtni01,BRK,2271,0.9,2.2,2.9,C,2023,8500000.0
Nic Claxton,claxtni01,BRK,2116,-0.3,1.5,1.7,C,2024,9625000.0
Nic Claxton,claxtni01,BRK,1882,-1.1,1.5,1.1,C,2025,27556817.0
Donovan Clingan,clingdo01,POR,1324,-1.7,1.4,0.6,C,2025,6586440.0
Noah Clowney,clownno01,BRK,370,-0.8,0.1,0.1,PF,2024,3089520.0
Noah Clowney,clownno01,BRK,1042,-3.1,-1.0,-0.5,PF,2025,3244080.0
Amir Coffey,coffeam01,LAC,1567,-0.3,0.0,0.7,SG,2022,153488.0
Amir Coffey,coffeam01,LAC,625,-4.3,-0.7,-0.5,SF,2023,3395062.0
Amir Coffey,coffeam01,LAC,1460,-1.9,-0.3,-0.1,SF,2024,3666667.0
Amir Coffey,coffeam01,LAC,1748,-1.5,-0.2,0.1,SG,2025,3938271.0
Isaiah Collier,colliis01,UTA,1839,-3.8,-1.5,-1.6,PG,2025,2520120.0
John Collins,collijo01,ATL,1848,2.5,-0.2,2.0,PF,2021,4137302.0
John Collins,collijo01,ATL,1663,1.5,0.0,1.5,PF,2022,23000000.0
John Collins,collijo01,ATL,2130,-1.4,0.2,0.4,PF,2023,23500000.0
John Collins,collijo01,UTA,1901,0.5,-1.4,0.5,PF,2024,25340000.0
John Collins,collijo01,UTA,1220,1.4,-0.4,0.9,PF,2025,26580000.0
Zach Collins,colliza01,SAS,502,-1.2,1.0,0.2,C,2022,7000000.0
Zach Collins,colliza01,SAS,1441,-0.5,0.3,0.6,C,2023,7350000.0
Zach Collins,colliza01,SAS,1526,-2.0,-0.1,0.0,C,2024,7700000.0
Zach Collins,colliza01,CHI,552,-0.1,0.2,0.3,PF,2025,16741200.0
Mike Conley,conlemi01,UTA,1498,3.6,1.3,2.6,PG,2021,34502130.0
Mike Conley,conlemi01,UTA,2058,2.4,0.7,2.7,PG,2022,21000000.0
Mike Conley,conlemi01,UTA,1276,0.7,-0.5,0.7,PG,2023,22680000.0
Mike Conley,conlemi01,MIN,2193,2.0,1.4,3.0,PG,2024,24360000.0
Mike Conley,conlemi01,MIN,1756,-0.1,1.3,1.4,PG,2025,9975962.0
Pat Connaughton,connapa01,MIL,1575,-0.5,0.5,0.8,SG,2021,4938272.0
Pat Connaughton,connapa01,MIL,1691,0.8,0.3,1.4,SF,2022,5333334.0
Pat Connaughton,connapa01,MIL,1443,-1.3,0.3,0.3,SF,2023,5728393.0
Pat Connaughton,connapa01,MIL,1676,-1.6,0.0,0.2,SF,2024,9423869.0
Pat Connaughton,connapa01,MIL,603,-1.4,-0.8,0.0,SG,2025,9423869.0
Quinn Cook,cookqu01,CLE,95,-1.5,-0.2,0.0,PG,2021,1620564.0
Xavier Cooks,cooksxa01,WAS,126,-3.2,-0.4,-0.1,PF,2023,140384.0
Tyler Cook,cookty01,DET,421,-2.0,-0.8,-0.1,SF,2021,396081.0
Tyler Cook,cookty01,CHI,200,-3.0,-1.1,-0.1,PF,2022,1701593.0
Bilal Coulibaly,coulibi01,WAS,1715,-3.6,-0.5,-0.9,SF,2024,6614280.0
Bilal Coulibaly,coulibi01,WAS,1948,-3.0,-0.7,-0.8,SF,2025,6945240.0
Ricky Council IV,councri01,PHI,1250,-2.0,-2.3,-0.7,SF,2025,1891857.0
DeMarcus Cousins,couside01,HOU,506,-1.6,1.5,0.2,C,2021,233095.0
DeMarcus Cousins,couside01,DEN,431,-2.8,-0.2,-0.1,C,2022,431684.0
Robert Covington,covinro01,POR,2243,-1.3,1.5,1.2,PF,2021,12138345.0
Robert Covington,covinro01,POR,1431,-2.8,1.6,0.3,PF,2022,12975471.0
Robert Covington,covinro01,LAC,779,-0.5,2.1,0.7,PF,2023,12307692.0
Robert Covington,covinro01,PHI,419,-0.9,3.0,0.4,SF,2024,11692308.0
Torrey Craig,craigto01,PHO,602,0.4,0.4,0.4,SF,2021,1620564.0
Torrey Craig,craigto01,IND,1034,-1.6,-0.6,-0.1,SF,2022,4878049.0
Torrey Craig,craigto01,PHO,1948,-1.3,0.7,0.7,PF,2023,5121951.0
Torrey Craig,craigto01,CHI,1049,-1.8,-0.2,0.0,SF,2024,2528233.0
Torrey Craig,craigto01,BOS,201,-3.4,0.7,0.0,SF,2025,2845342.0
Jae Crowder,crowdja01,PHO,1648,0.3,0.8,1.3,PF,2021,9258000.0
Jae Crowder,crowdja01,PHO,1886,-1.3,2.4,1.5,PF,2022,9720900.0
Jae Crowder,crowdja01,MIL,340,0.1,1.1,0.3,PF,2023,10183000.0
Jae Crowder,crowdja01,MIL,1156,-2.6,0.0,-0.2,PF,2024,2019760.0
Jae Crowder,crowdja01,SAC,103,-3.8,-0.5,-0.1,PF,2025,1655619.0
Jarrett Culver,culveja01,MIN,499,-4.5,-1.1,-0.5,SG,2021,6104280.0
Jarrett Culver,culveja01,MEM,338,-5.7,0.3,-0.3,SG,2022,6395160.0
Jarrett Culver,culveja01,ATL,137,-4.8,0.6,-0.1,SF,2023,6395160.0
Cade Cunningham,cunnica01,DET,2088,-1.1,-0.5,0.2,SG,2022,10050120.0
Cade Cunningham,cunnica01,DET,400,-0.1,-0.6,0.1,PG,2023,10552800.0
Cade Cunningham,cunnica01,DET,2074,2.0,-1.6,1.2,PG,2024,11055240.0
Cade Cunningham,cunnica01,DET,2452,3.8,0.1,3.7,PG,2025,13940658.0
Seth Curry,curryse01,PHI,1638,0.1,-0.4,0.7,SG,2021,7834449.0
Seth Curry,curryse01,PHI,1566,-0.1,-0.9,0.4,SG,2022,8207518.0
Seth Curry,curryse01,BRK,1211,-1.2,-0.9,0.0,SG,2023,8496500.0
Seth Curry,curryse01,DAL,457,-3.2,-0.9,-0.2,SG,2024,4000000.0
Seth Curry,curryse01,CHO,1062,-0.8,-0.9,0.1,SG,2025,2087519.0
Stephen Curry,curryst01,GSW,2152,8.3,0.4,5.8,PG,2021,43006362.0
Stephen Curry,curryst01,GSW,2211,5.4,0.4,4.4,PG,2022,45780966.0
Stephen Curry,curryst01,GSW,1941,7.5,0.1,4.7,PG,2023,48070014.0
Stephen Curry,curryst01,GSW,2421,6.3,-1.1,4.4,PG,2024,51915615.0
Stephen Curry,curryst01,GSW,2252,6.4,0.0,4.8,PG,2025,55761216.0
Pacome Dadiet,dadiepa01,NYK,111,-4.9,-1.5,-0.1,SG,2025,1808080.0
Dyson Daniels,daniedy01,NOP,1042,-3.4,1.6,0.0,PG,2023,5508600.0
Dyson Daniels,daniedy01,NOP,1358,-1.9,2.5,0.9,PG,2024,5784120.0
Dyson Daniels,daniedy01,ATL,2571,-1.1,2.6,2.3,SG,2025,6059520.0
Tristan Da Silva,dasiltr01,ORL,1629,-2.3,-0.3,-0.3,SF,2025,3628440.0
Anthony Davis,davisan02,LAL,1162,2.6,2.2,2.0,PF,2021,32742000.0
Anthony Davis,davisan02,LAL,1404,2.6,1.2,2.0,C,2022,35361360.0
Anthony Davis,davisan02,LAL,1904,4.6,1.7,4.0,C,2023,37980720.0
Anthony Davis,davisan02,LAL,2700,3.5,1.7,4.9,C,2024,40600080.0
Anthony Davis,davisan02,LAL,1440,4.5,1.5,2.9,C,2025,43219440.0
Ed Davis,davised01,MIN,299,-3.3,1.1,0.0,C,2021,5005350.0
Ed Davis,davised01,CLE,201,-4.2,2.5,0.0,C,2022,1669178.0
Johnny Davis,davisjo06,WAS,423,-5.8,-1.7,-0.6,SG,2023,4810320.0
Johnny Davis,davisjo06,WAS,613,-5.5,-1.1,-0.7,SG,2024,5050800.0
Johnny Davis,davisjo06,WAS,242,-3.5,0.7,0.0,SG,2025,5291160.0
Terence Davis,daviste02,SAC,581,-0.1,-0.9,0.2,SG,2021,1517981.0
Terence Davis,daviste02,SAC,536,-0.6,-0.4,0.2,SG,2022,4000000.0
Terence Davis,daviste02,SAC,841,-1.3,-0.3,0.1,SG,2023,4000000.0
Gabriel Deck,deckga01,OKC,212,0.0,-0.4,0.1,PF,2021,3870370.0
Gabriel Deck,deckga01,OKC,56,-1.2,-1.3,0.0,PF,2022,3676852.0
Dewayne Dedmon,dedmode01,MIA,210,1.2,0.5,0.2,C,2021,432890.0
Dewayne Dedmon,dedmode01,MIA,1065,-2.2,1.1,0.3,C,2022,1669178.0
Dewayne Dedmon,dedmode01,MIA,350,-2.4,0.6,0.0,C,2023,580373.0
Sam Dekker,dekkesa01,TOR,1,-6.2,-3.4,0.0,PF,2022,1669178.0
Matthew Dellavedova,dellama01,CLE,224,-4.5,-1.9,-0.3,PG,2021,1620564.0
Matthew Dellavedova,dellama01,SAC,213,-4.4,-0.8,-0.2,PG,2023,1836090.0
DeMar DeRozan,derozde01,SAS,2056,3.2,-0.1,2.6,PF,2021,27739975.0
DeMar DeRozan,derozde01,CHI,2743,3.4,-0.9,3.1,PF,2022,26000000.0
DeMar DeRozan,derozde01,CHI,2682,1.7,0.3,2.6,SF,2023,27300000.0
DeMar DeRozan,derozde01,CHI,2989,2.1,-0.3,2.8,SF,2024,28600000.0
DeMar DeRozan,derozde01,SAC,2768,1.2,-1.2,1.3,SF,2025,23400000.0
Moussa Diabaté,diabamo01,CHO,1241,-1.4,-0.4,0.0,C,2025,957763.0
Mamadi Diakite,diakima01,MIL,141,-3.3,0.9,0.0,PF,2021,160173.0
Mamadi Diakite,diakima01,OKC,188,-5.9,0.9,-0.1,PF,2022,1517981.0
Mamadi Diakite,diakima01,CLE,176,-4.9,1.6,-0.1,C,2023,1517981.0
Hamidou Diallo,diallha01,OKC,761,-2.1,0.6,0.1,SG,2021,1663861.0
Hamidou Diallo,diallha01,DET,1269,-1.2,0.7,0.5,SG,2022,5200000.0
Hamidou Diallo,diallha01,DET,996,-1.8,0.4,0.1,SF,2023,5200000.0
Gradey Dick,dickgr01,TOR,1268,-3.2,-2.2,-1.1,SG,2024,4536720.0
Gradey Dick,dickgr01,TOR,1587,-1.9,-1.3,-0.5,SG,2025,4763760.0
Gorgui Dieng,dienggo01,MEM,371,1.8,1.6,0.5,C,2021,1000000.0
Gorgui Dieng,dienggo01,ATL,371,1.4,0.8,0.4,C,2022,4000000.0
Gorgui Dieng,dienggo01,SAS,358,-4.0,0.1,-0.2,C,2023,622582.0
Ousmane Dieng,diengou01,OKC,569,-3.1,-0.5,-0.2,PF,2023,4569840.0
Ousmane Dieng,diengou01,OKC,365,-2.3,-0.7,-0.1,PF,2024,4798440.0
Ousmane Dieng,diengou01,OKC,405,-2.0,1.1,0.1,C,2025,5027040.0
Rob Dillingham,dilliro01,MIN,516,-3.3,-0.9,-0.3,PG,2025,6262920.0
Spencer Dinwiddie,dinwisp01,BRK,64,-2.4,2.6,0.0,SG,2021,11454048.0
Spencer Dinwiddie,dinwisp01,WAS,1330,-0.2,-0.7,0.3,PG,2022,17142857.0
Spencer Dinwiddie,dinwisp01,DAL,1808,2.0,-1.2,1.3,SG,2023,19500000.0
Spencer Dinwiddie,dinwisp01,BRK,1474,-0.5,-0.8,0.3,PG,2024,1554654.0
Spencer Dinwiddie,dinwisp01,DAL,2136,-0.9,-0.7,0.2,PG,2025,2087519.0
Donte DiVincenzo,divindo01,MIL,1814,-0.2,0.4,1.0,SG,2021,3044160.0
Donte DiVincenzo,divindo01,SAC,665,-0.8,0.2,0.2,SG,2022,4675830.0
Donte DiVincenzo,divindo01,GSW,1894,-0.6,1.3,1.3,SG,2023,4500000.0
Donte DiVincenzo,divindo01,NYK,2360,2.5,0.9,3.2,SG,2024,10960000.0
Donte DiVincenzo,divindo01,MIN,1606,0.8,1.1,1.6,SG,2025,11445000.0
Luka Dončić,doncilu01,DAL,2262,6.1,0.7,5.1,PG,2021,8049360.0
Luka Dončić,doncilu01,DAL,2301,6.4,1.8,5.9,PG,2022,10174391.0
Luka Dončić,doncilu01,DAL,2391,7.6,1.4,6.6,PG,2023,37095000.0
Luka Dončić,doncilu01,DAL,2624,8.3,1.7,8.0,PG,2024,40064220.0
Luka Dončić,doncilu01,LAL,984,5.5,1.1,2.1,PG,2025,43031940.0
Luguentz Dort,dortlu01,OKC,1543,-2.6,-0.9,-0.6,SG,2021,1517981.0
Luguentz Dort,dortlu01,OKC,1665,-1.5,-0.7,-0.1,SG,2022,1782621.0
Luguentz Dort,dortlu01,OKC,2272,-2.0,-1.0,-0.6,SF,2023,15277778.0
Luguentz Dort,dortlu01,OKC,2246,-1.4,-0.2,0.2,SF,2024,15277778.0
Luguentz Dort,dortlu01,OKC,2073,-0.6,0.8,1.2,SF,2025,16500000.0
Ayo Dosunmu,dosunay01,CHI,2110,-1.9,-0.1,0.0,SG,2022,925258.0
Ayo Dosunmu,dosunay01,CHI,2098,-3.0,0.6,-0.2,SG,2023,1563518.0
Ayo Dosunmu,dosunay01,CHI,2212,-0.6,-0.2,0.7,SG,2024,6481481.0
Ayo Dosunmu,dosunay01,CHI,1394,-1.4,-0.2,0.1,SG,2025,7000000.0
Damyean Dotson,dotsoda01,CLE,907,-3.4,-1.4,-0.6,SG,2021,2000000.0
Sekou Doumbouya,doumbse01,DET,869,-5.4,-1.3,-1.0,PF,2021,3449400.0
Sekou Doumbouya,doumbse01,LAL,16,8.8,10.0,0.1,PF,2022,3613680.0
Jeff Dowtin Jr.,dowtije01,PHI,621,0.7,-0.5,0.3,PG,2025,2196970.0
PJ Dozier,doziepj01,DEN,1088,-2.3,-0.4,-0.2,SG,2021,1762796.0
PJ Dozier,doziepj01,DEN,340,-3.0,1.0,0.0,SG,2022,1910860.0
PJ Dozier,doziepj01,SAC,79,-8.6,0.7,-0.1,SF,2023,539450.0
PJ Dozier,doziepj01,MIN,35,-2.0,2.7,0.0,SG,2025,2087519.0
Goran Dragić,dragigo01,MIA,1337,-1.1,-1.3,-0.1,PG,2021,18000000.0
Goran Dragić,dragigo01,BRK,408,-3.3,-1.1,-0.3,PG,2022,460463.0
Goran Dragić,dragigo01,CHI,787,-2.1,-1.6,-0.3,PG,2023,390433.0
Andre Drummond,drumman01,CLE,722,-1.0,0.2,0.2,C,2021,794536.0
Andre Drummond,drumman01,PHI,902,-1.2,2.5,0.7,C,2022,1669178.0
Andre Drummond,drumman01,CHI,849,-1.2,0.5,0.3,C,2023,3200000.0
Andre Drummond,drumman01,CHI,1351,0.8,-0.7,0.7,C,2024,3360000.0
Andre Drummond,drumman01,PHI,751,-2.4,-0.8,-0.2,C,2025,5000000.0
Chris Duarte,duartch01,IND,1541,-1.2,-1.1,-0.1,SG,2022,3749400.0
Chris Duarte,duartch01,IND,897,-2.9,-1.6,-0.6,SF,2023,3936960.0
Chris Duarte,duartch01,SAC,719,-3.5,0.1,-0.2,SF,2024,4124400.0
Chris Duarte,duartch01,CHI,74,2.2,-1.0,0.1,SG,2025,5893768.0
Jared Dudley,dudleja01,LAL,81,-4.4,0.9,0.0,PF,2021,1620564.0
David Duke Jr.,dukeda01,BRK,228,-6.3,-1.0,-0.3,SG,2023,28241.0
Kris Dunn,dunnkr01,ATL,45,-13.7,-0.1,-0.1,PG,2021,4767000.0
Kris Dunn,dunnkr01,POR,336,-4.6,-0.8,-0.3,PG,2022,5005350.0
Kris Dunn,dunnkr01,UTA,568,0.7,1.7,0.6,PG,2023,735819.0
Kris Dunn,dunnkr01,UTA,1249,-1.5,1.4,0.6,PG,2024,2586665.0
Kris Dunn,dunnkr01,LAC,1783,-2.8,3.4,1.2,PG,2025,5168000.0
Ryan Dunn,dunnry01,PHO,1410,-2.9,-1.2,-0.7,SF,2025,2538240.0
Kevin Durant,duranke01,BRK,1157,6.4,0.8,2.7,PF,2021,40108950.0
Kevin Durant,duranke01,BRK,2047,6.4,0.7,4.8,PF,2022,42018900.0
Kevin Durant,duranke01,BRK,1403,5.8,1.2,3.2,PF,2023,44119845.0
Kevin Durant,duranke01,PHO,2791,4.0,0.1,4.3,PF,2024,47649433.0
Kevin Durant,duranke01,PHO,2265,3.9,-0.7,3.0,PF,2025,51179021.0
Jalen Duren,durenja01,DET,1670,-0.4,-0.4,0.5,C,2023,4124280.0
Jalen Duren,durenja01,DET,1777,-0.2,0.1,0.9,C,2024,4330680.0
Jalen Duren,durenja01,DET,2034,1.6,1.5,2.7,C,2025,4536840.0
Tari Eason,easonta01,HOU,1767,-1.3,-0.4,0.1,PF,2023,3309160.0
Tari Eason,easonta01,HOU,480,-0.4,2.0,0.4,PF,2024,3527160.0
Tari Eason,easonta01,HOU,1420,1.0,2.6,2.0,PF,2025,3695160.0
Zach Edey,edeyza01,MEM,1416,-0.2,0.1,0.7,C,2025,5756880.0
Anthony Edwards,edwaran01,MIN,2314,-0.4,-1.7,-0.1,SG,2021,9757440.0
Anthony Edwards,edwaran01,MIN,2466,1.6,-0.4,2.0,SG,2022,10245480.0
Anthony Edwards,edwaran01,MIN,2842,1.0,0.0,2.1,SG,2023,10733400.0
Anthony Edwards,edwaran01,MIN,2770,2.7,0.5,3.7,SG,2024,9219512.0
Anthony Edwards,edwaran01,MIN,2871,4.4,0.0,4.6,SG,2025,42176400.0
Carsen Edwards,edwarca01,BOS,276,-3.2,-1.3,-0.2,SG,2021,1517981.0
Carsen Edwards,edwarca01,DET,79,-6.0,-3.4,-0.1,SG,2022,1782621.0
Justin Edwards,edwarju01,PHI,1155,-2.1,-1.6,-0.5,SF,2025,425619.0
Kessler Edwards,edwarke02,BRK,987,-3.1,-0.8,-0.5,SF,2022,5318.0
Kessler Edwards,edwarke02,SAC,306,-2.3,-0.1,0.0,SF,2023,1637966.0
Kessler Edwards,edwarke02,SAC,275,-1.6,0.1,0.0,SF,2024,1927896.0
CJ Elleby,ellebcj01,POR,192,-4.0,-0.9,-0.1,SF,2021,898310.0
CJ Elleby,ellebcj01,POR,1174,-3.8,-1.5,-1.0,SF,2022,1517981.0
Wayne Ellington,ellinwa01,DET,1012,1.1,-1.3,0.5,SG,2021,1620564.0
Wayne Ellington,ellinwa01,LAL,810,-0.7,-0.6,0.1,SG,2022,1669178.0
Keon Ellis,elliske01,SAC,978,-0.9,2.1,0.8,SG,2024,683430.0
Keon Ellis,elliske01,SAC,1948,-0.1,2.0,1.9,SG,2025,2120693.0
Joel Embiid,embiijo01,PHI,1585,6.3,1.2,3.8,C,2021,29542010.0
Joel Embiid,embiijo01,PHI,2297,7.2,2.0,6.5,C,2022,31579390.0
Joel Embiid,embiijo01,PHI,2284,6.8,2.3,6.4,C,2023,33616770.0
Joel Embiid,embiijo01,PHI,1309,8.5,3.1,4.5,C,2024,46900000.0
Joel Embiid,embiijo01,PHI,574,3.7,-0.3,0.8,C,2025,51415938.0
James Ennis III,ennisja01,ORL,986,-1.9,-0.3,-0.1,SF,2021,3300000.0
Drew Eubanks,eubandr01,SAS,755,-1.0,1.0,0.4,C,2021,1620564.0
Drew Eubanks,eubandr01,POR,650,0.8,-2.3,0.1,C,2022,1762796.0
Drew Eubanks,eubandr01,POR,1584,-0.9,0.9,0.8,C,2023,1836090.0
Drew Eubanks,eubandr01,PHO,1169,-2.0,0.8,0.2,C,2024,2346614.0
Drew Eubanks,eubandr01,UTA,568,-0.9,0.9,0.3,C,2025,5000000.0
Dante Exum,exumda01,CLE,116,-5.4,1.6,-0.1,SG,2021,9600000.0
Dante Exum,exumda01,DAL,1088,-0.3,-0.3,0.4,PG,2024,3000000.0
Dante Exum,exumda01,DAL,372,-1.2,-1.1,0.0,PG,2025,3150000.0
Derrick Favors,favorde01,UTA,1039,0.3,2.4,1.2,C,2021,9258000.0
Derrick Favors,favorde01,OKC,653,-2.3,0.3,0.0,C,2022,9720900.0
Cristiano Felício,feliccr01,CHI,84,-1.1,1.2,0.0,C,2021,7529020.0
Terrance Ferguson,fergute01,PHI,49,-12.1,-2.2,-0.2,SG,2021,3944013.0
Bruno Fernando,fernabr01,ATL,226,-6.1,-0.4,-0.3,C,2021,1517981.0
Bruno Fernando,fernabr01,HOU,94,1.3,0.2,0.1,C,2022,1782621.0
Bruno Fernando,fernabr01,HOU,364,-2.8,1.1,0.0,C,2023,2717391.0
Bruno Fernando,fernabr01,ATL,682,-3.1,0.9,-0.1,C,2024,2581522.0
Bruno Fernando,fernabr01,TOR,147,-3.0,2.3,0.1,C,2025,2087519.0
Yogi Ferrell,ferreyo01,LAC,96,0.0,0.7,0.1,PG,2021,214169.0
Kyle Filipowski,filipky01,UTA,1522,-0.6,-0.3,0.4,C,2025,3000000.0
Dorian Finney-Smith,finnedo01,DAL,1921,0.2,0.0,1.0,PF,2021,4000000.0
Dorian Finney-Smith,finnedo01,DAL,2644,0.1,0.7,1.9,PF,2022,4000000.0
Dorian Finney-Smith,finnedo01,DAL,1288,-0.9,-0.2,0.3,PF,2023,12939648.0
Dorian Finney-Smith,finnedo01,BRK,1934,-2.0,-0.1,0.0,PF,2024,13932008.0
Dorian Finney-Smith,finnedo01,LAL,1239,-1.6,0.1,0.2,PF,2025,14924168.0
Malik Fitts,fittsma01,UTA,35,-7.9,-1.9,-0.1,PF,2022,231062.0
Malachi Flynn,flynnma01,TOR,928,-2.5,-0.2,-0.1,PG,2021,1950600.0
Malachi Flynn,flynnma01,TOR,537,-1.8,0.4,0.1,PG,2022,2048040.0
Malachi Flynn,flynnma01,TOR,691,-3.3,-0.8,-0.4,PG,2023,2145720.0
Malachi Flynn,flynnma01,TOR,474,-2.8,0.0,-0.1,PG,2024,3873025.0
Simone Fontecchio,fontesi01,UTA,766,-3.0,-2.1,-0.6,SF,2023,3205128.0
Simone Fontecchio,fontesi01,UTA,1160,-0.4,-1.2,0.1,SF,2024,3044872.0
Simone Fontecchio,fontesi01,DET,1237,-2.2,-0.7,-0.3,SF,2025,7692308.0
Bryn Forbes,forbebr01,MIL,1354,0.4,-1.7,0.2,SG,2021,2337145.0
Bryn Forbes,forbebr01,SAS,676,-0.3,-1.3,0.1,SG,2022,4500000.0
Bryn Forbes,forbebr01,MIN,268,-4.8,-1.5,-0.3,SG,2023,1836090.0
Trent Forrest,forretr01,ATL,414,-3.8,-0.7,-0.3,SG,2024,553151.0
Evan Fournier,fournev01,ORL,787,2.3,-0.6,0.7,SF,2021,17150000.0
Evan Fournier,fournev01,NYK,2358,-0.4,-0.3,0.7,SG,2022,17000000.0
Evan Fournier,fournev01,NYK,459,-4.0,0.0,-0.2,SG,2023,18000000.0
Evan Fournier,fournev01,DET,541,-4.2,0.3,-0.3,SG,2024,18857143.0
De'Aaron Fox,foxde01,SAC,2036,3.1,-1.3,2.0,PG,2021,8099627.0
De'Aaron Fox,foxde01,SAC,2083,0.6,-1.2,0.7,PG,2022,28103550.0
De'Aaron Fox,foxde01,SAC,2435,3.4,-0.9,2.7,PG,2023,28103550.0
De'Aaron Fox,foxde01,SAC,2659,2.6,0.1,3.2,PG,2024,32600060.0
De'Aaron Fox,foxde01,SAC,1663,2.0,-0.8,1.3,PG,2025,34848340.0
Tim Frazier,fraziti01,MEM,62,-10.7,-1.2,-0.2,PG,2021,255294.0
Javon Freeman-Liberty,freemja01,TOR,403,-3.1,-2.0,-0.3,PG,2024,289542.0
Markelle Fultz,fultzma01,ORL,215,-3.6,-0.9,-0.1,PG,2021,12288697.0
Markelle Fultz,fultzma01,ORL,360,-0.1,0.4,0.2,PG,2022,16500000.0
Markelle Fultz,fultzma01,ORL,1778,-0.1,0.7,1.2,PG,2023,16500000.0
Markelle Fultz,fultzma01,ORL,910,-2.6,1.2,0.1,PG,2024,17000000.0
Markelle Fultz,fultzma01,SAC,184,-4.5,-0.2,-0.1,PG,2025,731831.0
Johnny Furphy,furphjo01,IND,379,-3.0,0.6,0.0,SG,2025,1850842.0
Wenyen Gabriel,gabriwe01,NOP,241,-3.2,-0.1,-0.1,PF,2021,1620564.0
Wenyen Gabriel,gabriwe01,LAL,1024,-2.3,0.1,-0.1,C,2023,1878720.0
Daniel Gafford,gaffoda01,WAS,408,2.5,1.6,0.6,C,2021,1517981.0
Daniel Gafford,gaffoda01,WAS,1444,1.1,0.5,1.3,C,2022,1782621.0
Daniel Gafford,gaffoda01,WAS,1604,0.4,0.6,1.2,C,2023,1930681.0
Daniel Gafford,gaffoda01,WAS,1192,-0.2,1.1,0.9,C,2024,12402000.0
Daniel Gafford,gaffoda01,DAL,1226,2.7,1.1,1.8,C,2025,13394160.0
Danilo Gallinari,gallida01,ATL,1222,1.7,-0.6,1.0,PF,2021,19500000.0
Danilo Gallinari,gallida01,ATL,1672,1.0,-1.2,0.8,PF,2022,20475000.0
Danilo Gallinari,gallida01,WAS,385,-0.8,-1.8,-0.1,PF,2024,661628.0
Langston Galloway,gallola01,PHO,438,-0.1,-0.8,0.1,SG,2021,1620564.0
Darius Garland,garlada01,CLE,1790,0.0,-2.1,-0.1,PG,2021,6720720.0
Darius Garland,garlada01,CLE,2430,3.4,-0.8,2.8,PG,2022,7040880.0
Darius Garland,garlada01,CLE,2447,3.2,-0.7,2.7,PG,2023,8920795.0
Darius Garland,garlada01,CLE,1901,0.2,-1.2,0.5,PG,2024,34005250.0
Darius Garland,garlada01,CLE,2301,3.9,-0.8,3.0,PG,2025,36725670.0
Usman Garuba,garubus01,HOU,239,-1.8,0.9,0.1,PF,2022,2353320.0
Usman Garuba,garubus01,HOU,970,-2.0,0.6,0.2,C,2023,2471160.0
Luka Garza,garzalu01,DET,389,-0.5,-2.0,-0.1,C,2022,925258.0
